Date/time,Anemómetro 1;wind_speed;Avg,Anemómetro 1;wind_speed;Max,Anemómetro 1;wind_speed;Min,Anemómetro 1;wind_speed;StdDev,Anemómetro 1;wind_speed;Count,Anemómetro 2;wind_speed;Avg,Anemómetro 2;wind_speed;Max,Anemómetro 2;wind_speed;Min,Anemómetro 2;wind_speed;StdDev,Anemómetro 2;wind_speed;Count,Anemómetro 3;wind_speed;Avg,Anemómetro 3;wind_speed;Max,Anemómetro 3;wind_speed;Min,Anemómetro 3;wind_speed;StdDev,Anemómetro 3;wind_speed;Count,Anemómetro 4;wind_speed;Avg,Anemómetro 4;wind_speed;Max,Anemómetro 4;wind_speed;Min,Anemómetro 4;wind_speed;StdDev,Anemómetro 4;wind_speed;Count,Anemómetro 5;wind_speed;Avg,Anemómetro 5;wind_speed;Max,Anemómetro 5;wind_speed;Min,Anemómetro 5;wind_speed;StdDev,Anemómetro 5;wind_speed;Count,Anemómetro 6;wind_speed;Avg,Anemómetro 6;wind_speed;Max,Anemómetro 6;wind_speed;Min,Anemómetro 6;wind_speed;StdDev,Anemómetro 6;wind_speed;Count,Veleta 1;wind_direction;Avg,Veleta 1;wind_direction;StdDev,Veleta 1;wind_direction;Count,Veleta 2;wind_direction;Avg,Veleta 2;wind_direction;StdDev,Veleta 2;wind_direction;Count,Veleta 3;wind_direction;Avg,Veleta 3;wind_direction;StdDev,Veleta 3;wind_direction;Count,Hygro;humidity;Avg,Hygro;humidity;Max,Hygro;humidity;Min,Hygro;humidity;StdDev,Hygro;humidity;Count,Hygro;temperature;Avg,Hygro;temperature;Max,Hygro;temperature;Min,Hygro;temperature;StdDev,Hygro;temperature;Count,Barómetro 1;air_pressure;Avg,Barómetro 1;air_pressure;Max,Barómetro 1;air_pressure;Min,Barómetro 1;air_pressure;StdDev,Barómetro 1;air_pressure;Count,A1;Avg,A1;Max,A1;Min,A1;StdDev,A1;Count,A2;Avg,A2;Max,A2;Min,A2;StdDev,A2;Count,A3;Avg,A3;Max,A3;Min,A3;StdDev,A3;Count,C1;Avg,C1;Max,C1;Min,C1;StdDev,C1;Count,C2;Avg,C2;Max,C2;Min,C2;StdDev,C2;Count,C3;Avg,C3;Max,C3;Min,C3;StdDev,C3;Count,C4;Avg,C4;Max,C4;Min,C4;StdDev,C4;Count,C5;Avg,C5;Max,C5;Min,C5;StdDev,C5;Count,C6;Avg,C6;Max,C6;Min,C6;StdDev,C6;Count,D1;Avg,D1;Max,D1;Min,D1;StdDev,D1;Count,D2;Avg,D2;Max,D2;Min,D2;StdDev,D2;Count,D3;Avg,D3;Max,D3;Min,D3;StdDev,D3;Count,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T,addr
2018-04-17 00:00:00,13.0700,15.2286,11.0886,0.7745,600,13.0231,15.0501,11.2296,0.7415,600,12.1715,14.5793,9.9364,0.8013,600,12.2233,14.4119,9.9489,0.8013,600,0.0439,0.3253,0.0000,0.1020,600,11.3163,14.0581,8.2881,0.9727,600,322.8976,3.1233,600,323.9356,3.4439,600,321.9932,3.9152,600,70.5852,70.7419,70.4978,0.0556,600,19.68052,19.73296,19.58647,0.03418,600,1003.9881,1004.3153,1003.7477,0.0906,600,3.3998,3.4053,3.3958,0.0015,600,0.7059,0.7074,0.7050,0.0006,600,0.49681,0.49733,0.49586,0.00034,600,279.0733,326.0000,236.0000,16.8377,600,277.9650,322.0000,239.0000,16.1093,600,259.6217,312.0000,211.0000,17.4315,600,260.4333,308.0000,211.0000,17.4164,600,0.1600,2.0000,0.0000,0.3759,600,240.6017,300.0000,175.0000,21.0726,600,247.1750,276,204,8.8945,600,250.1283,284,225,9.8069,600,244.6033,280,210,11.1496,600,11.81,11.86,11.76,64.6867,74,64,24.9,5099351
2018-04-17 00:10:00,12.5574,14.9066,10.4906,0.7466,600,12.5328,14.7739,10.3550,0.7579,600,11.6538,13.7979,9.2468,0.7446,600,11.6287,14.0898,9.8109,0.7722,600,0.0572,0.3253,0.0000,0.1133,600,10.9008,13.0887,8.4727,0.8209,600,323.9400,3.1911,600,324.7732,3.3927,600,322.1499,3.8076,600,70.8614,71.0166,70.6198,0.0880,600,19.55993,19.60173,19.53459,0.01407,600,1003.9091,1004.1322,1003.5646,0.1032,600,3.3985,3.4022,3.3927,0.0017,600,0.7086,0.7102,0.7062,0.0009,600,0.49560,0.49602,0.49535,0.00014,600,267.9300,319.0000,223.0000,16.2301,600,267.3133,316.0000,220.0000,16.4648,600,248.3600,295.0000,196.0000,16.1980,600,247.5100,301.0000,208.0000,16.7825,600,0.2117,2.0000,0.0000,0.4288,600,231.6000,279.0000,179.0000,17.7836,600,250.1417,290,223,9.0873,600,252.5100,284,219,9.6610,600,245.0483,280,203,10.8434,600,11.81,11.81,11.76,64.7900,74,64,24.0,5099412
2018-04-17 00:20:00,12.4539,15.7346,9.7086,0.8165,600,12.4071,15.6024,9.7106,0.7831,600,11.5241,13.9358,8.8331,0.7976,600,11.5026,13.9978,9.4428,0.7548,600,0.0616,0.3253,0.0000,0.1167,600,10.7032,13.1811,8.1035,0.9383,600,323.5944,3.2914,600,324.3271,3.9244,600,321.9762,4.4145,600,70.9766,71.1081,70.8029,0.0817,600,19.47217,19.54375,19.39726,0.03580,600,1003.7370,1003.9491,1003.5463,0.1025,600,3.3956,3.3992,3.3924,0.0017,600,0.7098,0.7111,0.7080,0.0008,600,0.49472,0.49544,0.49397,0.00036,600,265.6800,337.0000,206.0000,17.7501,600,264.5817,334.0000,206.0000,17.0121,600,245.5383,298.0000,187.0000,17.3497,600,244.7683,299.0000,200.0000,16.4062,600,0.2317,2.0000,0.0000,0.4528,600,227.3200,281.0000,171.0000,20.3262,600,249.1583,281,226,9.3721,600,251.2417,284,219,11.1759,600,244.5567,292,202,12.5755,600,11.81,11.81,11.76,64.7367,76,64,24.0,5099474
2018-04-17 00:30:00,12.3597,15.0446,9.9386,0.7853,600,12.3453,14.7739,9.9407,0.7777,600,11.4940,13.4761,9.2468,0.8038,600,11.4830,13.8598,9.2588,0.8598,600,0.0690,0.3714,0.0000,0.1214,600,10.7067,13.0426,8.1496,0.8534,600,323.3588,3.2048,600,324.0111,3.6209,600,321.9356,3.7550,600,71.1864,71.4438,70.9861,0.0916,600,19.36817,19.42473,19.31791,0.02343,600,1003.5499,1003.7660,1003.1800,0.0955,600,3.3925,3.3961,3.3863,0.0016,600,0.7119,0.7144,0.7099,0.0009,600,0.49368,0.49425,0.49318,0.00023,600,263.6333,322.0000,211.0000,17.0728,600,263.2383,316.0000,211.0000,16.8957,600,244.8833,288.0000,196.0000,17.4861,600,244.3433,296.0000,196.0000,18.6880,600,0.2583,3.0000,0.0000,0.4711,600,227.3967,278.0000,172.0000,18.4877,600,248.4883,284,217,9.1266,600,250.3417,280,212,10.3111,600,244.4367,281,199,10.6952,600,11.79,11.86,11.71,65.0867,76,64,24.0,5099535
2018-04-17 00:40:00,12.3412,14.5846,10.3066,0.7067,600,12.3116,14.9120,10.4471,0.7130,600,11.4464,13.3382,9.1549,0.7606,600,11.3888,13.6297,9.1667,0.7662,600,0.0569,0.3253,0.0000,0.1133,600,10.6326,12.5348,8.6112,0.7058,600,322.9578,2.9867,600,323.6566,3.1677,600,321.5655,3.3987,600,71.3435,71.4133,71.1997,0.0455,600,19.28570,19.33012,19.23246,0.02677,600,1003.3409,1003.5829,1002.9969,0.1142,600,3.3890,3.3930,3.3833,0.0019,600,0.7134,0.7141,0.7120,0.0005,600,0.49286,0.49330,0.49232,0.00027,600,263.2300,312.0000,219.0000,15.3628,600,262.5067,319.0000,222.0000,15.4893,600,243.8483,285.0000,194.0000,16.5460,600,242.2950,291.0000,194.0000,16.6529,600,0.2133,2.0000,0.0000,0.4376,600,225.7900,267.0000,182.0000,15.2905,600,247.3467,271,220,8.5041,600,249.3350,278,217,9.0201,600,243.3867,281,209,9.6783,600,11.80,11.81,11.71,64.8533,74,64,24.0,5099596
2018-04-17 00:50:00,12.0547,14.2166,9.5246,0.7118,600,11.9969,14.0834,9.7566,0.7308,600,11.1160,13.3841,9.3388,0.6929,600,11.0644,13.3997,9.3968,0.7077,600,0.0607,0.3253,0.0000,0.1156,600,10.2249,12.2117,8.0111,0.6799,600,323.0058,3.2162,600,323.9746,3.2636,600,321.8993,3.3725,600,71.5080,71.6880,71.3828,0.0658,600,19.17377,19.24162,19.10428,0.03781,600,1003.1739,1003.3998,1002.7955,0.1147,600,3.3862,3.3900,3.3799,0.0019,600,0.7151,0.7169,0.7138,0.0007,600,0.49174,0.49242,0.49104,0.00038,600,257.0017,304.0000,202.0000,15.4742,600,255.6700,301.0000,207.0000,15.8765,600,236.6617,286.0000,198.0000,15.0718,600,235.2450,286.0000,199.0000,15.3820,600,0.2217,2.0000,0.0000,0.4276,600,216.9583,260.0000,169.0000,14.7298,600,247.4833,281,218,9.1582,600,250.2383,280,220,9.2931,600,244.3367,280,219,9.6033,600,11.79,11.81,11.71,64.8067,74,64,24.0,5099658
2018-04-17 01:00:00,12.1582,13.7566,10.2606,0.6384,600,12.1280,14.4977,10.0328,0.6223,600,11.1563,12.8785,8.9710,0.6850,600,11.1653,13.1236,8.8447,0.7007,600,0.0672,0.3253,0.0000,0.1203,600,10.2951,12.6271,8.1496,0.7033,600,325.3866,2.6767,600,326.2406,3.4065,600,324.1342,3.8271,600,71.7466,71.8711,71.6269,0.0649,600,19.07015,19.11344,19.00052,0.03030,600,1002.9933,1003.2167,1002.6307,0.1024,600,3.3832,3.3869,3.3772,0.0017,600,0.7175,0.7187,0.7163,0.0006,600,0.49070,0.49113,0.49001,0.00030,600,259.2517,294.0000,218.0000,13.8784,600,258.5183,310.0000,213.0000,13.5198,600,237.5383,275.0000,190.0000,14.9001,600,237.4367,280.0000,187.0000,15.2292,600,0.2517,2.0000,0.0000,0.4641,600,218.4783,269.0000,172.0000,15.2351,600,254.2550,282,230,7.6217,600,256.6850,301,231,9.7008,600,250.6933,289,198,10.9016,600,11.78,11.81,11.71,64.9800,74,64,24.0,5099719
2018-04-17 01:10:00,11.4268,13.0666,9.2026,0.7014,600,11.4566,13.3009,9.3884,0.6877,600,10.5537,12.3728,8.6952,0.7197,600,10.5243,12.2494,8.7066,0.7176,600,0.0742,0.3253,0.0000,0.1242,600,9.6530,11.6578,7.6880,0.7708,600,325.6883,2.9192,600,326.8653,3.4804,600,325.0956,3.5089,600,72.0610,72.2373,71.8101,0.1092,600,18.94101,19.00967,18.86319,0.03675,600,1002.9190,1003.2167,1002.6124,0.1046,600,3.3820,3.3869,3.3769,0.0017,600,0.7206,0.7224,0.7181,0.0011,600,0.48941,0.49010,0.48863,0.00037,600,243.3517,279.0000,195.0000,15.2477,600,243.9317,284.0000,199.0000,14.9413,600,224.4283,264.0000,184.0000,15.6563,600,223.5067,261.0000,184.0000,15.5959,600,0.2767,2.0000,0.0000,0.4766,600,204.5683,248.0000,162.0000,16.6976,600,255.1133,279,230,8.3122,600,258.4633,289,226,9.9107,600,253.4267,290,204,9.9937,600,11.76,11.81,11.71,64.9133,76,64,24.0,5099780
2018-04-17 01:20:00,10.7358,12.3766,9.1106,0.6668,600,10.7256,12.5644,8.7440,0.6606,600,9.7589,11.3614,7.6379,0.6989,600,9.8070,11.6053,8.0165,0.6545,600,0.0662,0.3253,0.0000,0.1197,600,8.9490,10.9192,7.3649,0.6593,600,326.6341,3.2597,600,327.5593,3.8451,600,325.9873,4.2382,600,72.5704,72.8782,72.1458,0.2156,600,18.81470,18.87539,18.78384,0.02252,600,1002.8762,1003.1800,1002.6307,0.0953,600,3.3813,3.3863,3.3772,0.0016,600,0.7257,0.7288,0.7215,0.0022,600,0.48815,0.48875,0.48784,0.00023,600,228.3300,264.0000,193.0000,14.4956,600,228.0517,268.0000,185.0000,14.3516,600,207.1400,242.0000,161.0000,15.2030,600,207.9167,247.0000,169.0000,14.2262,600,0.2483,2.0000,0.0000,0.4623,600,189.3183,232.0000,155.0000,14.2825,600,257.8050,304,233,9.2828,600,260.4367,298,230,10.9498,600,255.9650,290,216,12.0695,600,11.76,11.81,11.71,64.9700,76,64,24.0,5099843
2018-04-17 01:30:00,10.1740,12.0086,8.2826,0.6976,600,10.1956,12.1502,8.3297,0.7005,600,9.1370,11.0856,7.5459,0.7242,600,9.1661,11.2832,7.4644,0.6833,600,0.0708,0.3253,0.0000,0.1223,600,8.2763,10.2730,6.5340,0.6038,600,328.3927,3.5712,600,329.1759,4.0771,564,328.5474,3.9594,600,73.3068,73.7938,72.8172,0.3037,600,18.73676,18.79299,18.68007,0.02802,600,1002.7122,1003.0335,1002.4293,0.1223,600,3.3785,3.3839,3.3738,0.0020,600,0.7331,0.7379,0.7282,0.0030,600,0.48737,0.48793,0.48680,0.00028,600,216.1183,256.0000,175.0000,15.1644,600,216.5367,259.0000,176.0000,15.2181,600,193.6100,236.0000,159.0000,15.7534,600,193.9867,240.0000,157.0000,14.8508,600,0.2633,2.0000,0.0000,0.4666,600,174.7433,218.0000,137.0000,13.0813,600,262.8050,290,230,10.1692,600,265.0337,301,222,11.6120,564,263.2467,307,226,11.2760,600,11.76,11.76,11.71,65.1933,76,64,24.0,5099905
