,Timestamp,Ch1Anem,Ch2Anem,Ch3Anem,Ch4Anem,Ch5Anem,Ch6Anem,Ch13Vane,Ch14Vane,Ch16Analog,Ch17Analog
0,2017-10-03 21:00:00,0.2418,0.246086,0.26849,0.41,0.23962,0.36,123.0,115.0,-86.38,105.9
1,2017-10-03 21:10:00,0.2418,0.24188,0.26849,0.41,0.23962,0.36,123.0,115.0,-86.38,105.9
2,2017-10-03 21:20:00,0.2418,0.24188,0.26849,0.41,0.23962,0.36,123.0,115.0,-86.38,105.9
3,2017-10-03 21:30:00,6.50991,6.416271,6.516676,6.061308,6.113983,5.766428,92.59,84.43,0.366017,650.616751
4,2017-10-03 21:40:00,8.15741,7.997226,8.217065,7.692448,7.780485,7.32677,86.17,79.31,17.521962,760.487746
5,2017-10-03 21:50:00,8.937404,8.896575,8.912575,8.372408,8.447697,7.588742,79.16,71.36,17.140531,760.437872
6,2017-10-03 22:00:00,9.147432,9.099157,9.156573,8.571048,8.646944,7.9434,81.18,73.46,17.064244,760.338126
7,2017-10-03 22:10:00,7.97706,7.826721,7.711585,7.16758,7.205645,6.704778,88.72,81.6,17.009149,760.188506
8,2017-10-03 22:20:00,9.368113,9.366078,9.433257,8.975968,9.075975,8.420618,73.34,64.88,16.704003,760.188506
9,2017-10-03 22:30:00,8.876527,8.881646,8.775753,8.342612,8.505715,8.022298,69.06,59.78,16.475145,760.105383
10,2017-10-03 22:40:00,8.903922,8.888117,8.837323,8.483188,8.562207,7.933442,63.77,54.69,16.335286,760.05551
11,2017-10-03 22:50:00,8.627689,8.659836,8.552278,8.01562,8.169819,7.50678,65.52,57.22,16.263238,760.072134
12,2017-10-03 23:00:00,9.604014,9.637389,9.487225,9.132588,9.20957,8.56769,68.57,60.47,16.042855,760.171881
13,2017-10-03 23:10:00,9.949494,9.959774,9.781392,9.12342,9.275986,8.40683,69.91,61.88,15.902997,760.221754
14,2017-10-03 23:20:00,10.469237,10.474526,10.418372,9.888948,10.040149,9.420248,71.27,62.54,15.665662,760.304877
