,Ch1Anem,Ch2Anem,Ch3Anem,Ch4Anem,Ch5Anem,Ch6Anem,Ch7Vane,Ch8Vane,Ch9Vane,Timestamp
0,1.2821,1.3167,1.1684,1.2491,0.9931,1.1058,235.7346,226.7614,194.9809,2016-09-14 13:40:00
1,2.1654,2.1103,2.3427,2.3701,2.4488,2.5184,285.9317,286.5346,285.9206,2016-09-14 13:50:00
2,2.7435,2.8815,2.7822,2.9845,2.7012,2.9007,254.377,254.0049,254.8364,2016-09-14 14:00:00
3,2.6704,2.8993,2.6027,2.8005,2.5075,2.6744,242.9378,247.5312,247.7033,2016-09-14 14:10:00
4,3.0413,2.9716,3.2105,3.1648,3.397,3.2587,127.0839,126.2498,119.0629,2016-09-14 14:20:00
5,2.528,2.5799,2.7488,2.7436,3.117,3.0709,114.0766,115.0909,112.878,2016-09-14 14:30:00
6,2.5744,2.5778,2.6102,2.6545,2.6329,2.629,109.8466,110.0637,107.3694,2016-09-14 14:40:00
7,2.867,2.8628,2.9285,2.9127,2.9147,2.9095,116.2609,114.0101,110.5641,2016-09-14 14:50:00
8,3.0499,3.0396,3.1158,3.144,3.0618,3.0415,121.1256,123.8114,123.6233,2016-09-14 15:00:00
9,3.1121,3.0597,3.2778,3.2923,3.3619,3.3289,114.4292,113.815,112.1203,2016-09-14 15:10:00
10,2.2285,2.2579,2.2679,2.2959,2.3138,2.3242,134.3217,127.33,122.2256,2016-09-14 15:20:00
11,2.5952,2.5597,2.6977,2.7321,2.7932,2.7497,154.6271,152.112,152.7396,2016-09-14 15:30:00
12,2.6286,2.6419,2.4817,2.5803,2.4908,2.4597,150.6596,150.2406,146.7162,2016-09-14 15:40:00
13,2.7242,2.7646,2.653,2.6548,2.6316,2.6975,156.7031,144.7495,134.1594,2016-09-14 15:50:00
14,2.4664,2.5298,2.6265,2.672,2.7333,2.7191,113.578,115.7634,115.2009,2016-09-14 16:00:00
15,4.0136,4.0928,4.1219,4.2277,4.1466,4.1861,152.3127,156.3235,153.7649,2016-09-14 16:10:00
16,4.7724,5.1518,4.7144,4.9736,4.6335,4.8697,233.959,232.2689,230.3123,2016-09-14 16:20:00
17,9.6644,10.0228,9.4457,9.7502,9.1074,9.5119,253.205,254.7383,253.5143,2016-09-14 16:30:00
18,11.0922,11.6928,11.0167,11.6657,10.4267,11.5075,247.9602,249.99,248.5703,2016-09-14 16:40:00
19,9.2425,9.6654,9.3769,9.6121,9.1379,9.4947,252.9306,254.5341,252.9997,2016-09-14 16:50:00
20,8.3587,8.3014,8.3562,8.3225,8.3305,8.2959,260.28,260.1269,257.8505,2016-09-14 17:00:00
21,7.4495,7.4257,7.3945,7.358,7.3444,7.2637,267.6035,267.4118,265.7186,2016-09-14 17:10:00
22,6.1464,6.1172,6.1117,6.1158,6.0837,6.0768,274.2307,275.2024,273.5849,2016-09-14 17:20:00
23,5.5219,5.4821,5.381,5.3906,5.368,5.304,273.1528,274.6737,273.7728,2016-09-14 17:30:00
24,4.9341,4.953,4.894,4.9041,4.8237,4.8154,270.5531,272.4434,271.3617,2016-09-14 17:40:00
25,4.264,4.219,4.1985,4.1743,4.1202,4.0693,265.819,267.5308,266.9021,2016-09-14 17:50:00
26,3.5884,3.5795,3.5084,3.5152,3.5207,3.4744,266.7277,266.236,264.5988,2016-09-14 18:00:00
27,3.4857,3.4955,3.5396,3.5442,3.5461,3.5513,264.6551,263.4969,260.5791,2016-09-14 18:10:00
28,4.4328,4.3962,4.2909,4.2697,4.2273,4.188,269.1591,269.5279,268.4325,2016-09-14 18:20:00
29,5.4163,5.3834,5.4171,5.3871,5.3686,5.3252,283.8566,285.1749,283.6964,2016-09-14 18:30:00
30,4.527,4.4766,4.4684,4.469,4.4224,4.3666,278.4151,280.498,280.6272,2016-09-14 18:40:00
31,4.5281,4.4882,4.4502,4.4311,4.3595,4.3135,291.2517,293.6866,292.7406,2016-09-14 18:50:00
32,4.1,4.0491,4.0888,4.0569,4.0554,4.0095,288.649,292.5422,292.4822,2016-09-14 19:00:00
33,4.0481,4.0098,4.0059,4.0053,3.9954,3.954,288.6659,292.0108,291.7496,2016-09-14 19:10:00
34,4.6474,4.6019,4.5888,4.5887,4.5175,4.4786,295.5618,297.6245,296.2348,2016-09-14 19:20:00
35,4.9389,4.8988,4.8582,4.8258,4.7773,4.7132,287.566,289.7967,289.2286,2016-09-14 19:30:00
36,5.3858,5.3329,5.3647,5.3314,5.3794,5.3136,286.1852,288.2667,287.1069,2016-09-14 19:40:00
37,6.3146,6.2481,6.1223,6.0868,5.9908,5.9564,281.0177,282.0214,280.8243,2016-09-14 19:50:00
38,6.5653,6.5215,6.2113,6.2436,5.9078,5.8758,279.9685,280.7119,278.986,2016-09-14 20:00:00
39,6.2564,6.1995,5.9348,5.9428,5.7288,5.7285,279.087,280.2581,277.8325,2016-09-14 20:10:00
40,6.4726,6.4144,6.1396,6.155,5.8903,5.8783,278.9564,279.529,277.1995,2016-09-14 20:20:00
41,6.2722,6.2013,5.9301,5.9269,5.6483,5.6702,280.0672,280.4545,277.5166,2016-09-14 20:30:00
42,6.5643,6.4985,6.1839,6.2332,6.0032,5.9814,276.6881,277.1763,275.2291,2016-09-14 20:40:00
43,6.2501,6.1798,6.0331,5.9979,5.8458,5.7832,274.2079,274.4387,272.4541,2016-09-14 20:50:00
44,6.3745,6.3183,6.1341,6.0884,5.9302,5.8469,271.5321,272.8452,271.1795,2016-09-14 21:00:00
45,6.3354,6.2912,6.0567,6.0166,5.744,5.6868,262.8548,264.1861,262.87,2016-09-14 21:10:00
46,7.1581,7.1075,7.0408,6.9989,6.8952,6.8347,261.243,262.1918,260.613,2016-09-14 21:20:00
47,7.054,6.9986,6.9135,6.8616,6.8062,6.7267,259.4006,260.9035,259.7315,2016-09-14 21:30:00
48,6.7905,6.7378,6.7347,6.6896,6.6437,6.5759,261.7661,263.493,262.2293,2016-09-14 21:40:00
49,6.2634,6.1979,6.1191,6.0789,6.0065,5.94,264.0574,265.9219,264.8781,2016-09-14 21:50:00
50,5.9455,5.911,5.6957,5.6707,5.4673,5.4219,260.3144,261.9733,260.4449,2016-09-14 22:00:00
51,5.2251,5.1763,5.0006,4.9637,4.8166,4.7624,256.893,259.4567,259.2611,2016-09-14 22:10:00
52,5.47,5.4148,5.3122,5.279,5.0824,5.0345,258.9335,260.9714,260.1236,2016-09-14 22:20:00
53,4.7233,4.69,4.5333,4.5127,4.3959,4.3569,260.0264,262.191,261.3558,2016-09-14 22:30:00
54,4.799,4.7587,4.5773,4.5489,4.3315,4.2939,260.5619,262.0789,261.2327,2016-09-14 22:40:00
55,4.5772,4.545,4.3509,4.3312,4.1944,4.1566,257.7312,258.8845,257.6645,2016-09-14 22:50:00
56,4.7522,4.7119,4.5364,4.5045,4.3841,4.3384,257.1096,258.6271,257.5033,2016-09-14 23:00:00
57,4.7224,4.6856,4.5805,4.5564,4.3821,4.3437,261.5491,262.0988,260.4489,2016-09-14 23:10:00
58,3.5195,3.4998,3.5843,3.5758,3.623,3.6009,267.4244,266.6236,263.4331,2016-09-14 23:20:00
59,3.094,3.0677,3.1114,3.1064,3.1724,3.1488,268.9813,266.4235,263.0434,2016-09-14 23:30:00
60,2.63,2.6201,2.7529,2.7575,2.8701,2.8584,271.3589,268.0179,264.0043,2016-09-14 23:40:00
61,2.7535,2.7432,2.5791,2.5793,2.6186,2.6026,268.1452,268.0573,265.3943,2016-09-14 23:50:00
62,2.9015,2.8756,2.6801,2.6813,2.5088,2.4886,271.908,273.0779,271.3271,2016-09-15 00:00:00
63,3.0308,3.0012,2.769,2.7866,2.4754,2.4849,278.7213,279.4199,279.0717,2016-09-15 00:10:00
64,2.6271,2.5953,2.3665,2.3717,2.1582,2.1745,282.2453,284.818,283.4092,2016-09-15 00:20:00
65,2.1012,2.0711,1.7225,1.7147,1.535,1.5152,291.7041,299.1265,304.5255,2016-09-15 00:30:00
66,1.3382,1.3156,1.1551,1.1417,1.1337,1.1091,312.4444,329.8872,341.6973,2016-09-15 00:40:00
67,1.4075,1.4058,1.5933,1.6002,1.6732,1.6715,339.2042,345.464,350.4021,2016-09-15 00:50:00
68,1.9532,1.9462,2.019,2.03,1.9659,1.9706,337.1706,347.8836,354.8016,2016-09-15 01:00:00
69,2.0315,2.0371,1.9318,1.9255,1.8822,1.8871,337.2469,347.4754,353.6686,2016-09-15 01:10:00
70,1.672,1.6457,1.5391,1.5466,1.5957,1.5996,341.176,356.5797,1.5123,2016-09-15 01:20:00
71,1.623,1.6294,1.743,1.7508,1.8674,1.8636,357.8756,6.5451,11.2207,2016-09-15 01:30:00
72,1.6987,1.6948,1.8726,1.8883,1.9857,1.9878,358.5559,5.2824,13.5334,2016-09-15 01:40:00
73,1.3427,1.3314,1.3449,1.3494,1.4496,1.4302,340.6373,358.1929,6.4352,2016-09-15 01:50:00
74,1.1428,1.13,1.2141,1.2007,1.287,1.2666,8.5977,22.9438,24.9713,2016-09-15 02:00:00
